2026-04-14 11:40:15.751,40,43,41,43,-1,0
2026-04-14 11:40:27.018,90,81,91,84,-1,-3
2026-04-14 11:40:38.666,65,49,66,51,-1,-2
2026-04-14 11:40:48.966,6,79,7,82,-1,-3
2026-04-14 11:40:59.389,76,70,79,73,-3,-3
2026-04-14 11:41:09.748,90,33,93,34,-3,-1
2026-04-14 11:41:18.094,66,26,69,27,-3,-1
2026-04-14 11:41:28.985,25,60,26,63,-1,-3
2026-04-14 11:41:39.645,82,57,83,58,-1,-1
2026-04-14 11:41:50.524,61,83,64,86,-3,-3
2026-04-14 11:42:01.459,16,28,17,29,-1,-1
2026-04-14 11:42:11.696,71,51,74,53,-3,-2
2026-04-14 11:42:22.659,60,90,63,94,-3,-4
2026-04-14 11:42:32.099,48,46,50,48,-2,-2
2026-04-14 11:42:42.946,72,12,73,13,-1,-1
