2026-04-17 19:25:21.076,38,58,34,51,4,7
2026-04-17 19:25:22.564,38,6,34,13,4,-7
2026-04-17 19:25:23.808,7,58,6,60,1,-2
2026-04-17 19:25:25.063,28,32,32,32,-4,0
2026-04-17 19:25:26.703,10,28,13,30,-3,-2
2026-04-17 19:25:28.448,11,41,17,44,-6,-3
2026-04-17 19:25:30.360,36,24,32,28,4,-4
2026-04-17 19:25:31.917,19,58,22,53,-3,5
2026-04-17 19:25:33.327,58,17,42,21,16,-4
2026-04-17 19:25:34.832,19,17,16,20,3,-3
2026-04-17 19:25:36.591,58,46,47,51,11,-5
2026-04-17 19:25:37.927,19,10,10,9,9,1
2026-04-17 19:25:39.873,31,28,28,29,3,-1
2026-04-17 19:25:41.156,7,44,12,36,-5,8
2026-04-17 19:25:42.601,24,47,23,45,1,2
