2026-04-14 11:39:48.112,6,90,7,89,-1,1
2026-04-14 11:39:49.751,81,42,50,42,31,0
2026-04-14 11:39:51.649,69,66,69,67,0,-1
2026-04-14 11:39:52.918,10,21,9,20,1,1
2026-04-14 11:39:54.088,38,86,39,54,-1,32
2026-04-14 11:39:55.260,51,50,51,50,0,0
2026-04-14 11:39:56.209,76,62,76,62,0,0
2026-04-14 11:39:57.107,51,81,20,50,31,31
2026-04-14 11:39:58.157,66,29,66,30,0,-1
2026-04-14 11:39:59.146,57,56,57,56,0,0
2026-04-14 11:40:00.407,6,64,6,64,0,0
2026-04-14 11:40:01.234,10,6,20,20,-10,-14
2026-04-14 11:40:02.182,90,12,57,12,33,0
2026-04-14 11:40:03.126,27,68,26,68,1,0
2026-04-14 11:40:04.067,42,55,42,54,0,1
