2026-04-14 11:20:25.024,39,45,37,36,2,9
2026-04-14 11:20:25.444,50,44,37,36,13,8
2026-04-14 11:20:25.893,16,9,7,8,9,1
2026-04-14 11:20:26.348,66,42,67,46,-1,-4
2026-04-14 11:20:26.746,31,44,64,37,-33,7
2026-04-14 11:20:27.191,57,50,67,44,-10,6
2026-04-14 11:20:27.763,6,47,7,11,-1,36
2026-04-14 11:20:28.176,12,18,6,6,6,12
2026-04-14 11:20:28.599,54,16,13,13,41,3
2026-04-14 11:20:29.018,9,6,8,8,1,-2
2026-04-14 11:20:29.440,23,24,36,13,-13,11
2026-04-14 11:20:29.814,65,66,68,67,-3,-1
2026-04-14 11:20:30.250,6,41,8,13,-2,28
2026-04-14 11:20:30.664,41,43,37,36,4,7
2026-04-14 11:20:31.105,13,64,68,67,-55,-3
